antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'lbxsir'}),frozenset({'lbxsossi'}),0.11192548480684074,0.9122003359291495,0.11192548480684074,1.0,1.0962504184800803,0.009827019967007702,inf,0.0988651994497937
frozenset({'lbxsir'}),frozenset({'lbxstr'}),0.11192548480684074,0.7973736448312719,0.09848831882730189,0.8799454297407914,1.1035546953987827,0.009241887057364132,1.6877854356667932,0.10566387298337658
frozenset({'lbxsldsi'}),frozenset({'lbxsossi'}),0.1568178347839365,0.9122003359291495,0.1568178347839365,1.0,1.0962504184800803,0.01376855321434775,inf,0.10412893879029331
frozenset({'lbxsldsi'}),frozenset({'lbxstr'}),0.1568178347839365,0.7973736448312719,0.13773095129027332,0.8782862706913339,1.1014739155031685,0.012688542794057678,1.6647781340662688,0.10925939459256306
frozenset({'lbxsph'}),frozenset({'lbxsossi'}),0.13910520690181707,0.9122003359291495,0.13910520690181707,1.0,1.0962504184800803,0.0122133904364857,inf,0.10198652004256831
frozenset({'lbxsph'}),frozenset({'lbxstr'}),0.13910520690181707,0.7973736448312719,0.12093449381584975,0.8693743139407245,1.0902972772879749,0.010015667973539671,1.5511983996530363,0.09620101332588038
frozenset({'lbxsua'}),frozenset({'lbxsossi'}),0.11223087494273935,0.9122003359291495,0.11223087494273935,1.0,1.0962504184800803,0.009853833118350142,inf,0.09889920880632946
frozenset({'lbxsua'}),frozenset({'lbxstr'}),0.11223087494273935,0.7973736448312719,0.09238051610932967,0.8231292517006802,1.0323005494806117,0.002890574293634915,1.1456182388385774,0.03524550315994155
frozenset({'lbxsksi'}),frozenset({'lbxsossi'}),0.09864101389525118,0.9122003359291495,0.09864101389525118,1.0,1.0962504184800803,0.00866064788361115,inf,0.09740809757750295
frozenset({'lbxsksi'}),frozenset({'lbxstr'}),0.09864101389525118,0.7973736448312719,0.08688349366315468,0.8808049535603715,1.1046326390016992,0.00822974888364611,1.6999561745324452,0.105087609975804
frozenset({'lbxsclsi'}),frozenset({'lbxsossi'}),0.1603298213467705,0.9122003359291495,0.1603298213467705,1.0,1.0962504184800803,0.014076904454785932,inf,0.10456446626659396
frozenset({'lbxsclsi'}),frozenset({'lbxstr'}),0.1603298213467705,0.7973736448312719,0.14338066880439762,0.8942857142857142,1.1215390928489357,0.015537894781976536,1.916735792136616,0.12906035195478455
